900 1682
0 30 385951
30 60 701374
60 90 728842
90 120 64696
120 150 197154
150 180 35683
180 210 690932
210 240 121282
240 270 655909
270 300 569986
300 330 798643
330 360 572211
360 390 319488
390 420 169835
420 450 513814
450 480 831169
480 510 306190
510 540 803034
540 570 354979
570 600 584744
600 630 896442
630 660 274937
660 690 569128
690 720 717747
720 750 689413
750 780 285954
780 810 867998
810 840 17618
840 870 662501
1 31 597754
31 61 869061
61 91 744784
91 121 841846
121 151 359634
151 181 559834
181 211 369068
211 241 296243
241 271 448923
271 301 95589
301 331 12219
331 361 7742
361 391 403394
391 421 341516
421 451 571840
451 481 636872
481 511 493122
511 541 6901
541 571 10753
571 601 307085
601 631 892913
631 661 283401
661 691 170945
691 721 716677
721 751 393893
751 781 806009
781 811 255645
811 841 218460
841 871 425417
2 32 382214
32 62 773067
62 92 571743
92 122 215717
122 152 477237
152 182 283795
182 212 103603
212 242 226656
242 272 561387
272 302 155133
302 332 62684
332 362 192384
362 392 890560
392 422 719696
422 452 598528
452 482 619442
482 512 120075
512 542 768495
542 572 438420
572 602 209294
602 632 67019
632 662 912234
662 692 385859
692 722 951071
722 752 798471
752 782 271480
782 812 619573
812 842 744106
842 872 280335
3 33 660477
33 63 388466
63 93 387880
93 123 205856
123 153 862503
153 183 399945
183 213 207132
213 243 114402
243 273 521790
273 303 810519
303 333 365490
333 363 413178
363 393 177069
393 423 548098
423 453 882330
453 483 232541
483 513 668459
513 543 696192
543 573 750599
573 603 927362
603 633 60803
633 663 479429
663 693 283609
693 723 376269
723 753 163251
753 783 104944
783 813 421569
813 843 469358
843 873 295284
4 34 186875
34 64 661378
64 94 614594
94 124 313287
124 154 707936
154 184 148008
184 214 392166
214 244 783946
244 274 880208
274 304 895530
304 334 147694
334 364 17709
364 394 429918
394 424 354950
424 454 236285
454 484 841506
484 514 668024
514 544 778852
544 574 643955
574 604 727966
604 634 836524
634 664 97099
664 694 318632
694 724 362935
724 754 832209
754 784 902435
784 814 463122
814 844 298761
844 874 791256
5 35 180477
35 65 439640
65 95 948910
95 125 762651
125 155 68467
155 185 448887
185 215 367847
215 245 881512
245 275 504242
275 305 126391
305 335 427311
335 365 839740
365 395 28749
395 425 5134
425 455 366265
455 485 361784
485 515 351269
515 545 253890
545 575 65479
575 605 457833
605 635 265199
635 665 147685
665 695 29640
695 725 746858
725 755 600587
755 785 335765
785 815 762299
815 845 487938
845 875 311861
6 36 410874
36 66 254921
66 96 105718
96 126 405445
126 156 789087
156 186 860535
186 216 80783
216 246 864601
246 276 334976
276 306 826101
306 336 410517
336 366 833551
366 396 220413
396 426 25761
426 456 321792
456 486 546961
486 516 412584
516 546 5605
546 576 745124
576 606 239893
606 636 20438
636 666 455040
666 696 522840
696 726 246777
726 756 705994
756 786 744877
786 816 811579
816 846 683594
846 876 388452
7 37 200988
37 67 382025
67 97 264547
97 127 770801
127 157 515078
157 187 211349
187 217 678765
217 247 178757
247 277 502991
277 307 671282
307 337 762808
337 367 501676
367 397 731516
397 427 729681
427 457 792625
457 487 51847
487 517 57152
517 547 678322
547 577 477212
577 607 298473
607 637 902195
637 667 867514
667 697 12559
697 727 760224
727 757 43921
757 787 701665
787 817 61020
817 847 100114
847 877 155693
8 38 709943
38 68 746703
68 98 797419
98 128 217687
128 158 912225
158 188 928844
188 218 6261
218 248 472680
248 278 936118
278 308 735921
308 338 74821
338 368 337873
368 398 178623
398 428 983318
428 458 89679
458 488 92128
488 518 915738
518 548 786474
548 578 273441
578 608 518849
608 638 176199
638 668 614237
668 698 414328
698 728 317373
728 758 371337
758 788 161133
788 818 864122
818 848 771909
848 878 642943
9 39 600911
39 69 207937
69 99 195088
99 129 430543
129 159 724753
159 189 803198
189 219 63367
219 249 885127
249 279 652531
279 309 137401
309 339 941424
339 369 753788
369 399 258333
399 429 448232
429 459 64485
459 489 871937
489 519 683808
519 549 674808
549 579 575978
579 609 694540
609 639 593822
639 669 232331
669 699 885674
699 729 703424
729 759 938431
759 789 89539
789 819 574765
819 849 414651
849 879 754070
10 40 309712
40 70 757875
70 100 128292
100 130 299051
130 160 374230
160 190 912947
190 220 378027
220 250 359573
250 280 795898
280 310 205312
310 340 877010
340 370 691177
370 400 921695
400 430 639307
430 460 576820
460 490 882254
490 520 866837
520 550 570005
550 580 207755
580 610 260126
610 640 514718
640 670 220640
670 700 107597
700 730 730556
730 760 129205
760 790 396441
790 820 330967
