140 2485
417496 414824 43668958
417496 340933 93557226
417496 383454 85945459
417496 281627 69354434
417496 388675 40818782
417496 486445 116937889
417496 477015 30696683
417496 250350 92621484
417496 415616 73201270
417496 456692 18779243
417496 458687 43368611
417496 353409 106448900
417496 162518 134771986
417496 454183 93832246
417496 11816 214861775
417496 362528 111316978
417496 24321 194677938
417496 76809 173096245
417496 434850 49288725
417496 122181 138111127
417496 260686 73930883
417496 219297 100554111
417496 24028 183674722
417496 432537 112270396
417496 135402 127740719
417496 462121 61698748
417496 454344 82404747
417496 107234 156649334
417496 343055 86885470
417496 221979 118024338
417496 133719 165330457
417496 349305 98507575
417496 252641 139144032
417496 410343 50975110
417496 350003 99726278
417496 183722 110321475
417496 25815 213157613
417496 146499 129342501
417496 331850 91615721
417496 437632 55443387
417496 359467 35514539
417496 53976 185087855
417496 38562 189434118
417496 63560 186802199
417496 364093 71871763
417496 125212 173596035
417496 465220 44851251
417496 353440 116275798
417496 261571 94152942
417496 281547 82568051
417496 465183 37838479
417496 28466 187388793
417496 418674 70472422
417496 99331 184658776
417496 187031 122698643
417496 245489 103728346
417496 66773 161652910
417496 15755 185510101
417496 152740 135929567
417496 485535 54471411
417496 343140 61794012
417496 139455 139006254
417496 145672 149634673
417496 92777 152526510
417496 266397 78851544
417496 342722 55882703
417496 99002 144668682
417496 148835 132333658
417496 423917 42114072
414824 340933 134667491
414824 383454 47332477
414824 281627 89138386
414824 388675 81929047
414824 486445 78661449
414824 477015 48934986
414824 250350 75320725
414824 415616 31525857
414824 456692 48585945
414824 458687 80789375
414824 353409 70951596
414824 162518 155183311
414824 454183 55555806
414824 11816 198459866
414824 362528 73634320
414824 24321 181790227
414824 76809 159394040
414824 434850 89275701
414824 122181 135389180
414824 260686 84662121
414824 219297 119053378
414824 24028 193598096
414824 432537 71249757
414824 135402 135866519
414824 462121 100236878
414824 454344 122521245
414824 107234 172851108
414824 343055 127995735
414824 221979 145231222
414824 133719 190727966
414824 349305 139617840
414824 252641 106752437
414824 410343 93650096
414824 350003 140836543
414824 183722 113798467
414824 25815 193950401
414824 146499 143740267
414824 331850 131505498
414824 437632 95445040
414824 359467 33354173
414824 53976 204946106
414824 38562 209845443
414824 63560 170676579
414824 364093 112982028
414824 125212 150212669
414824 465220 25167994
414824 353440 78593140
414824 261571 73505515
414824 281547 114197221
414824 465183 29301688
414824 28466 174951056
414824 418674 112277003
414824 99331 162520453
414824 187031 144205453
414824 245489 83060117
414824 66773 169670642
414824 15755 186160114
414824 152740 153382204
414824 485535 34995696
414824 343140 100309292
414824 139455 156372707
414824 145672 171106311
414824 92777 149804563
414824 266397 69759869
414824 342722 33474024
414824 99002 151345859
414824 148835 122534416
414824 423917 5780972
340933 383454 173626366
340933 281627 73916018
340933 388675 54409453
340933 486445 208347143
340933 477015 112881344
340933 250350 142688200
340933 415616 161322311
340933 456692 101596079
340933 458687 77632348
340933 353409 189986561
340933 162518 88162944
340933 454183 186310614
340933 11816 244226684
340933 362528 195820209
340933 24321 218192458
340933 76809 200578865
340933 434850 60641548
340933 122181 154185750
340933 260686 96020247
340933 219297 78910296
340933 24028 161527746
340933 432537 201046211
340933 135402 129828422
340933 462121 66994839
340933 454344 52186908
340933 107234 112747283
340933 343055 9077800
340933 221979 58375451
340933 133719 94604359
340933 349305 9303824
340933 252641 202997075
340933 410343 48835884
340933 350003 10522527
340933 183722 122528987
340933 25815 242781262
340933 146499 108199341
340933 331850 9775040
340933 437632 57447160
340933 359467 113450068
340933 53976 134687933
340933 38562 139034196
340933 63560 216167108
340933 364093 22393012
340933 125212 217871130
340933 465220 136191400
340933 353440 200779029
340933 261571 146099565
340933 281547 48025543
340933 465183 129178628
340933 28466 202954066
340933 418674 40321085
340933 99331 228909594
340933 187031 80183179
340933 245489 155674969
340933 66773 152274624
340933 15755 186091080
340933 152740 95712297
340933 485535 145811560
340933 343140 39517352
340933 139455 103168911
340933 145672 91637637
340933 92777 161874394
340933 266397 124564444
340933 342722 130479809
340933 99002 143827980
340933 148835 162572079
340933 423917 134592440
383454 281627 115971389
383454 388675 121309293
383454 486445 58749649
383454 477015 92347969
383454 250350 73309689
383454 415616 20954975
383454 456692 94113376
383454 458687 127077731
383454 353409 26328072
383454 162518 177316213
383454 454183 35580956
383454 11816 171428953
383454 362528 27017405
383454 24321 161164522
383454 76809 138790775
383454 434850 133471532
383454 122181 137022648
383454 260686 107077702
383454 219297 142580497
383454 24028 203236430
383454 432537 36678598
383454 135402 144059413
383454 462121 146144848
383454 454344 166458800
383454 107234 190163856
383454 343055 164619730
383454 221979 172064225
383454 133719 213388813
383454 349305 178998086
383454 252641 69059505
