30 120
91 645 8309981
91 845 7239237
91 177 8621665
91 327 9085250
91 858 10605353
91 665 4638845
91 734 7919549
91 696 5074086
91 50 6999649
91 436 6144678
91 322 7531517
91 370 3757467
91 576 3835875
91 394 2473292
645 845 5434086
645 177 7700629
645 327 6163469
645 858 4211318
645 665 5084143
645 734 1749306
645 696 4576096
645 50 8685989
645 436 3806817
645 322 5243442
645 370 5324985
645 576 4474106
645 394 6169546
845 177 12384989
845 327 10847829
845 858 5417759
845 665 2600392
845 734 4499241
845 696 2359173
845 50 11725436
845 436 7668444
845 322 9927802
845 370 6763666
845 576 3455866
845 394 5098802
177 327 1664290
177 858 9077852
177 665 10747060
177 734 9069842
177 696 11182301
177 50 3384026
177 436 5970931
177 322 2978083
177 370 7350092
177 576 9944090
177 394 8696394
327 858 7540692
327 665 9530161
327 734 7532682
327 696 9912898
327 50 4592866
327 436 4433771
327 322 1664135
327 370 7173121
327 576 8674687
327 394 9033495
858 665 6280857
858 734 2685804
858 696 5721363
858 50 10154421
858 436 5784176
858 322 6620665
858 370 8071621
858 576 6769478
858 394 8464918
665 734 4176446
665 696 668371
665 50 9125044
665 436 6350776
665 322 8610134
665 370 4163274
665 576 855474
665 394 2498410
734 696 3668399
734 50 10055202
734 436 5269143
734 322 6612655
734 370 5841411
734 576 4083674
734 394 5779114
696 50 9560285
696 436 6733513
696 322 8992871
696 370 4546011
696 576 1238211
696 394 2933651
50 436 5313959
50 322 4053739
50 370 5728076
50 576 8322074
50 394 7074378
436 322 3513744
436 370 3948041
436 576 5495302
436 394 5195045
322 370 5800460
322 576 7754660
322 394 7606246
370 576 3307800
370 394 2487555
576 394 1695440
91 0 1932769
645 887 3643563
845 875 311861
177 27 1720729
327 27 3126997
858 889 714410
665 873 2540113
734 887 1894257
696 877 2256159
50 21 222430
436 14 4732967
322 21 3984393
370 14 4337182
576 877 3385493
394 4 4147523
